"SESSO","PAR","ANASCI","STACIV","IREG","ANNO","ID","STUDIO","NASCREG"
2,1,41,1,14,2016,"31695_4",3,5
1,2,36,1,14,2016,"31695_3",3,14
1,3,63,2,14,2016,"31695_6",4,14
1,1,30,1,18,2016,"31724_1",4,18
2,2,34,1,18,2016,"31724_2",4,1
2,3,62,2,18,2016,"31724_3",4,18
2,3,67,2,18,2016,"31724_4",4,18
2,4,70,2,18,2016,"31724_5",3,18
2,1,7,4,14,2016,"31757_1",3,15
2,1,20,1,14,2016,"31799_2",2,14
1,2,13,1,14,2016,"31799_1",3,14
1,1,30,1,7,2016,"31860_1",3,7
2,2,33,1,7,2016,"31860_2",4,7
2,3,60,2,7,2016,"31860_4",4,7
1,1,16,1,1,2016,"32034_1",3,10
2,2,20,1,1,2016,"32034_2",2,10
2,1,9,4,1,2016,"32044_2",2,1
1,1,13,1,1,2016,"32052_1",3,1
2,2,16,1,1,2016,"32052_2",3,1
1,1,10,1,1,2016,"32057_1",3,1
2,2,15,1,1,2016,"32057_2",4,1
1,3,39,2,1,2016,"32057_3",5,1
1,1,19,2,14,2016,"32190_1",4,14
2,1,8,4,15,2016,"32318_2",2,15
2,1,34,1,15,2016,"32320_2",5,15
1,2,30,1,15,2016,"32320_1",4,17
1,3,65,2,15,2016,"32320_4",4,15
2,1,17,4,7,2016,"32471_1",2,7
1,1,17,1,19,2016,"32524_1",5,19
2,2,20,1,19,2016,"32524_2",5,19
2,1,19,4,16,2016,"32556_1",3,16
1,1,21,1,8,2016,"32668_1",3,8
2,2,22,1,8,2016,"32668_2",3,8
1,3,45,2,8,2016,"32668_3",3,8
2,1,14,4,19,2016,"32703_2",4,7
1,1,12,1,19,2016,"32709_1",4,19
2,2,16,1,19,2016,"32709_2",4,19
2,3,50,2,19,2016,"32709_4",6,19
1,1,26,1,19,2016,"32729_1",3,19
2,2,30,1,19,2016,"32729_2",3,19
1,1,37,3,19,2016,"32734_3",3,19
2,1,11,4,19,2016,"32751_2",3,19
2,1,28,1,19,2016,"32765_1",5,19
1,2,26,1,19,2016,"32765_2",5,19
2,1,24,1,19,2016,"32772_2",4,8
1,2,21,1,19,2016,"32772_1",3,19
2,1,8,4,9,2016,"32810_1",1,9
1,1,2,1,10,2016,"32822_1",5,10
1,3,34,2,10,2016,"32822_4",4,10
1,1,17,1,16,2016,"32839_1",4,16
2,2,16,1,16,2016,"32839_2",3,16
2,1,23,1,3,2016,"32861_2",2,3
1,2,18,1,3,2016,"32861_1",2,3
2,3,60,2,3,2016,"32861_5",4,3
1,1,34,1,16,2016,"32887_1",4,16
2,2,37,1,16,2016,"32887_2",4,16
1,3,61,2,16,2016,"32887_4",4,16
1,1,8,1,7,2016,"33036_1",2,7
2,2,11,1,7,2016,"33036_2",2,7
1,3,37,2,7,2016,"33036_3",3,7
1,1,29,1,7,2016,"33038_1",4,7
2,2,27,1,7,2016,"33038_2",3,7
2,3,59,1,7,2016,"33038_6",4,7
1,3,61,2,7,2016,"33038_3",4,7
1,1,8,1,5,2016,"33275_1",5,8
